,ticker,Date,Posible_compra
33658,SJM,2003-09-14,No
33659,SJM,2003-12-15,No
33660,SJM,2004-03-16,No
33661,SJM,2004-06-14,No
33662,SJM,2004-09-14,No
33663,SJM,2004-12-15,No
33664,SJM,2005-03-17,No
33665,SJM,2005-06-14,No
33666,SJM,2005-09-14,No
33667,SJM,2005-12-15,Sí
33668,SJM,2006-03-17,Sí
33669,SJM,2006-06-14,Sí
33670,SJM,2006-09-14,Sí
33671,SJM,2006-12-15,No
33672,SJM,2007-03-17,Sí
33673,SJM,2007-06-14,No
33674,SJM,2007-09-14,No
33675,SJM,2007-12-15,No
33676,SJM,2008-03-16,Sí
33677,SJM,2008-06-14,Sí
33678,SJM,2008-09-14,No
33679,SJM,2008-12-15,No
33680,SJM,2009-03-17,Sí
33681,SJM,2009-06-14,Sí
33682,SJM,2009-09-14,Sí
33683,SJM,2009-12-15,Sí
33684,SJM,2010-03-17,No
33685,SJM,2010-06-14,No
33686,SJM,2010-09-14,No
33687,SJM,2010-12-15,No
33688,SJM,2011-03-17,No
33689,SJM,2011-06-14,No
33690,SJM,2011-09-14,No
33691,SJM,2011-12-15,No
33692,SJM,2012-03-16,No
33693,SJM,2012-06-14,No
33694,SJM,2012-09-14,No
33695,SJM,2012-12-15,No
33696,SJM,2013-03-17,No
33697,SJM,2013-06-14,No
33698,SJM,2013-09-14,No
33699,SJM,2013-12-15,No
33700,SJM,2014-03-17,Sí
33701,SJM,2014-06-14,Sí
33702,SJM,2014-09-14,Sí
33703,SJM,2014-12-15,Sí
33704,SJM,2015-03-17,Sí
33705,SJM,2015-06-14,Sí
33706,SJM,2015-09-14,Sí
33707,SJM,2015-12-15,Sí
33708,SJM,2016-03-16,No
33709,SJM,2016-06-14,No
33710,SJM,2016-09-14,No
33711,SJM,2016-12-15,No
33712,SJM,2017-03-17,No
33713,SJM,2017-06-14,No
33714,SJM,2017-09-14,No
33715,SJM,2017-12-15,Sí
33716,SJM,2018-03-17,Sí
33717,SJM,2018-06-14,Sí
33718,SJM,2018-09-14,No
33719,SJM,2018-12-15,Sí
33720,SJM,2019-03-17,Sí
33721,SJM,2019-06-14,No
33722,SJM,2019-09-14,Sí
